,Entity,Code,Year,Plastic mass input from rivers,unit
0,Africa,fd,2015,109200,tons (kg)
1,"Amazon (Brazil, Peru, Colombia, Ecuador)",fd,2015,38900,tons (kg)
2,Asia,fd,2015,1210000,tons (kg)
3,Australia-Pacific,fd,2015,300,tons (kg)
4,Brantas (Indonesia),fd,2015,38900,tons (kg)
5,Central & North America,fd,2015,13400,tons (kg)
6,"Cross (Nigeria, Cameroon)",fd,2015,40300,tons (kg)
7,Dong (China),fd,2015,19100,tons (kg)
8,Europe,fd,2015,3900,tons (kg)
9,"Ganges (India, Bangladesh)",fd,2015,115000,tons (kg)
10,Hanjiang (China),fd,2015,12900,tons (kg)
11,Huangpu (China),f,2015,40800,tons (kg)
12,Imo (Nigeria),fd,2015,21500,tons (kg)
13,Irrawaddy (Myanmar),fd,2015,35300,tons (kg)
14,Kwa Ibo (Nigeria),fd,2015,11900,tons (kg)
15,Magdalena (Colombia),fd,2015,16700,tons (kg)
16,"Mekong (Thailand, Cambodia, Laos, China, Myanmar, Vietnam)",fd,2015,22800,tons (kg)
17,Pasig (Philippines),fd,2015,38800,tons (kg)
18,Progo (Indonesia),fd,2015,12800,tons (kg)
19,Serayu (Indonesia),fd,2015,17100,tons (kg)
20,Solo (Indonesia),fd,2015,32500,tons (kg)
21,South America,fd,2015,67400,tons (kg)
22,Tamsui (Taiwan),fd,2015,14700,tons (kg)
23,World,OWID_WRL,2015,1404200,tons (kg)
24,Xi (China),ds,2015,73900,tons (kg)
25,Yangtze (China),ds,2015,333000,tons (kg)
26,Zhujiang (China),ds,2015,13600,tons (kg)
